date	focal	actor	receiver	beh	dur
2000-01-01	j	j	y	gro	93
2000-01-03	e	e	i	prox	37
2000-01-06	i	i	y	gro	62
2000-01-06	e	e	e	supp	NA
2000-01-06	e	e	o	appr	NA
2000-01-06	j	j	y	prox	139
2000-01-08	y	y	i	gro	22
2000-01-09	o	o	e	prox	17
2000-01-10	e	e	j	gro	4
2000-01-11	j	i	j	gro	62
2000-01-11	i	i	o	prox	125
2000-01-12	e	e	o	gro	62
2000-01-12	y	j	y	appr	NA
2000-01-15	o	o	y	appr	NA
2000-01-15	o	y	o	gro	14
2000-01-16	e	e	y	gro	15
2000-01-16	e	e	i	appr	NA
2000-01-16	e	e	y	prox	18
2000-01-17	y	o	y	gro	107
2000-01-17	y	j	y	appr	NA
2000-01-20	e	y	e	prox	33
2000-01-20	y	e	y	appr	NA
2000-01-20	e	e	o	prox	22
2000-01-24	j	j	y	gro	2
2000-01-24	o	j	o	gro	28
2000-01-24	o	j	o	supp	NA
2000-01-25	e	e	o	prox	113
2000-01-25	e	e	y	prox	35
2000-01-26	o	o	e	appr	NA
2000-01-26	e	e	o	prox	37
2000-01-29	e	e	o	prox	86
2000-01-29	o	o	y	appr	NA
2000-01-29	o	y	o	prox	179
2000-01-31	y	e	y	prox	44
2000-01-31	y	o	y	prox	60
2000-02-01	e	e	y	gro	8
2000-02-01	e	e	o	prox	49
2000-02-02	y	j	y	gro	36
2000-02-02	j	j	y	prox	10
2000-02-02	y	j	y	prox	14
2000-02-02	y	y	o	gro	39
2000-02-02	j	e	j	gro	51
2000-02-03	o	j	o	gro	26
2000-02-03	j	j	y	appr	NA
2000-02-03	j	j	y	appr	NA
2000-02-03	o	e	o	supp	NA
2000-02-03	o	e	o	prox	38
2000-02-04	o	j	o	prox	35
2000-02-07	y	y	j	prox	11
2000-02-07	o	j	o	gro	32
2000-02-09	y	e	y	prox	81
2000-02-09	e	e	y	gro	11
2000-02-09	y	o	y	gro	1
2000-02-09	y	e	y	appr	NA
2000-02-11	y	o	y	supp	NA
2000-02-11	y	y	e	prox	39
2000-02-12	o	o	y	gro	9
2000-02-12	y	o	y	appr	NA
2000-02-12	j	j	e	prox	11
2000-02-15	e	e	y	appr	NA
2000-02-16	e	e	o	prox	22
2000-02-16	e	e	j	prox	15
2000-02-20	e	e	o	prox	3
2000-02-20	j	j	o	prox	8
2000-02-20	o	e	o	gro	79
2000-02-23	e	e	j	appr	NA
2000-02-23	j	e	j	appr	NA
2000-02-24	o	j	o	appr	NA
2000-02-24	o	j	o	gro	53
2000-02-26	e	e	o	gro	56
2000-02-26	o	e	o	prox	41
2000-02-28	j	j	y	prox	159
2000-02-28	o	j	o	gro	43
