focal	date	OT
i	2000-01-01	60
j	2000-01-01	60
e	2000-01-01	59
y	2000-01-03	58
j	2000-01-03	55
e	2000-01-03	48
i	2000-01-06	53
e	2000-01-06	46
j	2000-01-06	49
e	2000-01-07	60
i	2000-01-07	55
y	2000-01-07	60
e	2000-01-08	41
i	2000-01-08	48
y	2000-01-08	60
j	2000-01-09	53
i	2000-01-09	60
o	2000-01-09	60
e	2000-01-10	49
y	2000-01-10	60
j	2000-01-10	52
i	2000-01-11	60
e	2000-01-11	60
j	2000-01-11	54
e	2000-01-12	34
o	2000-01-12	60
y	2000-01-12	55
o	2000-01-15	49
y	2000-01-15	52
j	2000-01-15	52
i	2000-01-16	60
o	2000-01-16	52
e	2000-01-16	60
i 2000-01-17	30
e	2000-01-17	50
y	2000-01-17	43
j	2000-01-17	59
e	2000-01-20	60
y	2000-01-20	54
j	2000-01-20	60
o	2000-01-24	56
j	2000-01-24	52
e	2000-01-24	46
e	2000-01-25	53
o	2000-01-25	60
j	2000-01-25	60
e	2000-01-26	43
y	2000-01-26	60
o	2000-01-26	60
e	2000-01-29	60
o	2000-01-29	55
y	2000-01-29	53
j	2000-01-31	59
y	2000-01-31	60
o	2000-01-31	60
j	2000-02-01	44
e	2000-02-01	60
o	2000-02-01	60
y	2000-02-02	60
e	2000-02-02	53
j	2000-02-02	60
o	2000-02-03	60
y	2000-02-03	50
j	2000-02-03	54
o	2000-02-04	60
j	2000-02-04	60
e	2000-02-04	59
y	2000-02-06	58
o	2000-02-06	48
e	2000-02-06	60
y	2000-02-07	60
j	2000-02-07	60
o	2000-02-07	56
e	2000-02-09	60
j	2000-02-09	60
y	2000-02-09	60
y	2000-02-11	56
j	2000-02-11	59
o	2000-02-11	60
y	2000-02-12	60
j	2000-02-12	60
o	2000-02-12	49
y	2000-02-15	60
e	2000-02-15	38
j	2000-02-15	60
j	2000-02-16	60
y	2000-02-16	60
e	2000-02-16	47
o	2000-02-20	39
e	2000-02-20	50
j	2000-02-20	60
e	2000-02-21	60
o	2000-02-21	60
j	2000-02-21	51
o	2000-02-23	55
j	2000-02-23	52
e	2000-02-23	60
y	2000-02-24	53
j	2000-02-24	60
o	2000-02-24	52
j	2000-02-26	54
o	2000-02-26	60
e	2000-02-26	45
y	2000-02-28	47
j	2000-02-28	32
o	2000-02-28	50
j	2000-02-29	44
y	2000-02-29	49
e	2000-02-29	60
e	2000-03-02	60
j	2000-03-02	58
y	2000-03-02	42
e	2000-03-03	60
j	2000-03-03	50
o	2000-03-03	60
y	2000-03-04	60
o	2000-03-04	59
e	2000-03-04	43
y	2000-03-06	52
e	2000-03-06	48
j	2000-03-06	60
j	2000-03-08	60
e	2000-03-08	60
y	2000-03-08	52
j	2000-03-15	60
y	2000-03-15	48
e	2000-03-15	60
j	2000-03-17	59
y	2000-03-17	52
e	2000-03-17	60
y	2000-03-18	60
e	2000-03-18	60
j	2000-03-18	43
y	2000-03-19	57
e	2000-03-19	59
j	2000-03-19	60
y	2000-03-21	52
j	2000-03-21	60
e	2000-03-21	60
e	2000-03-22	60
j	2000-03-22	60
y	2000-03-22	54
j	2000-03-24	58
e	2000-03-24	44
y	2000-03-24	53
y	2000-03-26	50
e	2000-03-26	50
j	2000-03-26	60
e	2000-03-30	55
j	2000-03-30	60
y	2000-03-30	60
j	2000-04-01	37
e	2000-04-01	60
y	2000-04-01	60
j	2000-04-02	60
e	2000-04-02	60
y	2000-04-02	60
y	2000-04-04	60
e	2000-04-04	57
j	2000-04-04	59
e	2000-04-06	60
j	2000-04-06	34
y	2000-04-06	60
j	2000-04-07	60
y	2000-04-07	60
e	2000-04-07	60
j	2000-04-08	60
e	2000-04-08	60
y	2000-04-08	60
e	2000-04-10	60
j	2000-04-10	56
y	2000-04-10	60
e	2000-04-11	60
