Day	Month	Year	ChimpID	Time	ID	NN
2	apr	2010	c	12:30	a	y
3	apr	2010	f	08:00	k	y
3	apr	2010	f	08:30	j	n
3	apr	2010	k	12:00	b	
4	apr	2010	c	09:30	g	
5	apr	2010	i	13:15	l	n
6	apr	2010	f	09:30	c	y
6	apr	2010	g	11:45	j	y
6	apr	2010	b	12:30	j	y
7	apr	2010	l	08:15	k	
7	apr	2010	c	13:00	f	n
9	apr	2010	b	10:15	i	n
11	apr	2010	k	13:15	d	y
11	apr	2010	g	13:45	b	y
13	apr	2010	a	10:00	l	n
13	apr	2010	j	13:00	b	
14	apr	2010	b	11:30	g	y
15	apr	2010	g	08:45	l	
15	apr	2010	g	09:15	d	y
15	apr	2010	a	10:00	f	n
15	apr	2010	j	13:45	e	
16	apr	2010	g	10:30	a	y
16	apr	2010	a	11:15	b	y
16	apr	2010	c	11:45	d	n
16	apr	2010	h	12:30	f	n
17	apr	2010	d	12:45	f	
18	apr	2010	d	12:30	l	y
21	apr	2010	g	11:00	j	
21	apr	2010	f	13:00	i	n
22	apr	2010	a	10:30	d	
25	apr	2010	d	08:45	j	
25	apr	2010	c	12:30	h	y
28	apr	2010	a	12:15	d	n
2	feb	2010	h	10:15	c	n
4	feb	2010	f	10:45	g	
5	feb	2010	e	09:30	i	
5	feb	2010	k	10:30	a	n
5	feb	2010	e	12:15	f	n
5	feb	2010	h	13:15	c	y
6	feb	2010	f	11:30	k	y
6	feb	2010	g	12:30	f	n
7	feb	2010	h	08:00	b	y
7	feb	2010	a	08:15	k	n
8	feb	2010	b	10:30	f	y
9	feb	2010	l	08:00	f	
9	feb	2010	e	12:15	l	n
10	feb	2010	e	13:15	c	n
11	feb	2010	l	11:00	a	y
11	feb	2010	i	12:45	c	y
14	feb	2010	e	10:15	j	n
15	feb	2010	k	08:15	e	n
15	feb	2010	e	10:45	d	n
20	feb	2010	k	08:30	l	y
20	feb	2010	i	08:45	b	y
20	feb	2010	d	11:15	a	y
21	feb	2010	a	09:00	i	
21	feb	2010	a	09:45	h	
22	feb	2010	b	11:15	f	y
22	feb	2010	k	13:00	g	
24	feb	2010	l	09:30	e	n
26	feb	2010	g	08:30	d	n
26	feb	2010	a	11:45	l	
27	feb	2010	i	08:00	j	n
27	feb	2010	d	09:00	b	y
27	feb	2010	j	10:15	c	y
27	feb	2010	h	11:15	i	y
28	feb	2010	j	09:00	f	
4	jan	2010	f	08:15	j	n
4	jan	2010	j	10:30	k	
6	jan	2010	h	13:30	j	
7	jan	2010	f	11:00	a	
8	jan	2010	d	10:45	e	y
9	jan	2010	a	12:30	f	n
9	jan	2010	d	13:30	j	n
10	jan	2010	k	12:15	g	n
10	jan	2010	i	13:45	k	n
13	jan	2010	g	13:15	a	y
14	jan	2010	f	09:00	i	n
14	jan	2010	g	11:45	e	n
15	jan	2010	i	10:00	f	n
20	jan	2010	c	08:30	a	
20	jan	2010	k	09:00	i	y
21	jan	2010	a	13:45	f	
22	jan	2010	e	12:45	f	
23	jan	2010	h	08:15	e	
24	jan	2010	f	09:30	g	
24	jan	2010	a	09:45	g	
24	jan	2010	b	10:30	j	y
24	jan	2010	g	11:30	h	y
24	jan	2010	d	11:45	g	n
25	jan	2010	g	11:00	e	n
26	jan	2010	f	13:15	i	y
28	jan	2010	c	08:00	h	y
28	jan	2010	a	09:30	h	
28	jan	2010	l	10:45	c	n
28	jan	2010	g	12:00	i	n
2	jun	2010	d	10:45	a	y
3	jun	2010	c	11:30	h	
3	jun	2010	l	12:15	f	
3	jun	2010	c	13:15	i	
4	jun	2010	e	11:30	f	y
4	jun	2010	i	12:45	j	y
8	jun	2010	e	10:30	k	
8	jun	2010	g	11:30	k	y
8	jun	2010	g	13:30	c	n
10	jun	2010	g	10:15	i	n
10	jun	2010	d	12:00	e	n
11	jun	2010	f	08:30	a	n
11	jun	2010	g	09:45	h	n
12	jun	2010	c	09:45	h	y
14	jun	2010	h	12:30	g	
14	jun	2010	k	13:00	h	
15	jun	2010	l	11:15	i	y
17	jun	2010	c	09:45	a	n
17	jun	2010	f	12:45	i	y
18	jun	2010	l	11:30	h	
18	jun	2010	g	12:00	f	y
19	jun	2010	d	08:15	k	
19	jun	2010	i	08:45	f	n
21	jun	2010	c	08:45	l	n
21	jun	2010	i	13:30	g	
22	jun	2010	k	09:15	e	y
23	jun	2010	g	12:00	i	y
24	jun	2010	h	08:30	a	
25	jun	2010	i	08:30	d	y
26	jun	2010	k	11:15	b	n
1	mar	2010	d	09:15	l	
1	mar	2010	e	11:30	l	y
1	mar	2010	j	11:45	h	
3	mar	2010	c	10:45	j	
3	mar	2010	g	12:00	b	
5	mar	2010	i	12:15	d	y
5	mar	2010	g	13:00	k	
6	mar	2010	k	10:45	b	y
7	mar	2010	l	11:15	g	y
7	mar	2010	j	13:00	d	n
8	mar	2010	f	08:30	g	
9	mar	2010	l	09:15	k	
9	mar	2010	a	10:30	k	y
11	mar	2010	b	12:15	f	n
11	mar	2010	h	13:30	k	n
12	mar	2010	d	09:00	k	n
12	mar	2010	j	12:15	g	y
14	mar	2010	d	08:00	k	y
15	mar	2010	d	10:30	k	y
15	mar	2010	c	11:30	a	
18	mar	2010	i	08:30	b	
18	mar	2010	d	10:45	h	
23	mar	2010	a	08:30	g	
24	mar	2010	l	13:30	j	y
26	mar	2010	f	11:00	i	y
27	mar	2010	g	11:30	d	n
27	mar	2010	f	13:30	c	n
28	mar	2010	g	13:00	f	
2	may	2010	h	08:15	j	n
5	may	2010	l	12:15	g	
6	may	2010	d	12:30	j	y
6	may	2010	g	13:15	k	y
6	may	2010	a	13:45	g	n
8	may	2010	f	09:15	i	
9	may	2010	l	11:15	d	
10	may	2010	e	08:30	d	y
10	may	2010	f	09:15	l	
10	may	2010	a	11:15	g	
11	may	2010	a	11:15	c	
11	may	2010	l	12:30	h	y
12	may	2010	e	08:00	j	n
12	may	2010	b	13:30	f	n
13	may	2010	i	11:00	e	y
13	may	2010	j	13:15	i	
14	may	2010	l	13:30	k	y
16	may	2010	d	08:30	h	n
18	may	2010	l	11:00	f	y
19	may	2010	g	09:00	e	n
19	may	2010	a	09:30	g	y
19	may	2010	f	10:00	l	y
19	may	2010	d	11:00	g	
23	may	2010	f	10:30	j	n
28	may	2010	e	08:45	f	
