Day	Month	Year	Focal	Time	ChimpID
2	apr	2010	C	12:30	A
2	apr	2010	C	12:30	K
2	apr	2010	C	12:30	B
3	apr	2010	F	08:00	K
3	apr	2010	F	08:00	B
3	apr	2010	F	08:00	H
3	apr	2010	F	08:30	J
3	apr	2010	F	08:30	D
3	apr	2010	F	08:30	A
3	apr	2010	K	12:00	B
3	apr	2010	K	12:00	C
3	apr	2010	K	12:00	E
4	apr	2010	C	09:30	G
4	apr	2010	C	09:30	L
4	apr	2010	C	09:30	D
5	apr	2010	I	13:15	L
5	apr	2010	I	13:15	E
6	apr	2010	F	09:30	C
6	apr	2010	F	09:30	J
6	apr	2010	F	09:30	I
6	apr	2010	G	11:45	J
6	apr	2010	G	11:45	F
6	apr	2010	G	11:45	E
6	apr	2010	B	12:30	J
6	apr	2010	B	12:30	H
6	apr	2010	B	12:30	C
7	apr	2010	L	08:15	K
7	apr	2010	L	08:15	B
7	apr	2010	L	08:15	I
7	apr	2010	C	13:00	F
7	apr	2010	C	13:00	B
7	apr	2010	C	13:00	K
9	apr	2010	B	10:15	I
9	apr	2010	B	10:15	J
9	apr	2010	B	10:15	F
11	apr	2010	K	13:15	D
11	apr	2010	K	13:15	L
11	apr	2010	G	13:45	B
11	apr	2010	G	13:45	I
13	apr	2010	A	10:00	L
13	apr	2010	A	10:00	G
13	apr	2010	J	13:00	B
13	apr	2010	J	13:00	G
14	apr	2010	B	11:30	G
14	apr	2010	B	11:30	E
14	apr	2010	B	11:30	H
15	apr	2010	G	08:45	L
15	apr	2010	G	08:45	I
15	apr	2010	G	08:45	J
15	apr	2010	G	09:15	D
15	apr	2010	G	09:15	F
15	apr	2010	G	09:15	E
15	apr	2010	A	10:00	F
15	apr	2010	A	10:00	D
15	apr	2010	A	10:00	E
15	apr	2010	J	13:45	E
15	apr	2010	J	13:45	G
16	apr	2010	G	10:30	A
16	apr	2010	G	10:30	B
16	apr	2010	G	10:30	F
16	apr	2010	A	11:15	B
16	apr	2010	A	11:15	F
16	apr	2010	A	11:15	G
16	apr	2010	C	11:45	D
16	apr	2010	C	11:45	F
16	apr	2010	H	12:30	F
16	apr	2010	H	12:30	E
17	apr	2010	D	12:45	F
17	apr	2010	D	12:45	B
17	apr	2010	D	12:45	K
18	apr	2010	D	12:30	L
18	apr	2010	D	12:30	J
21	apr	2010	G	11:00	J
21	apr	2010	G	11:00	L
21	apr	2010	G	11:00	C
21	apr	2010	F	13:00	I
21	apr	2010	F	13:00	L
21	apr	2010	F	13:00	H
22	apr	2010	A	10:30	D
22	apr	2010	A	10:30	K
22	apr	2010	A	10:30	H
25	apr	2010	D	08:45	J
25	apr	2010	D	08:45	B
25	apr	2010	D	08:45	L
25	apr	2010	C	12:30	H
25	apr	2010	C	12:30	L
28	apr	2010	A	12:15	D
28	apr	2010	A	12:15	B
28	apr	2010	A	12:15	J
2	feb	2010	H	10:15	C
2	feb	2010	H	10:15	D
2	feb	2010	H	10:15	A
4	feb	2010	F	10:45	G
4	feb	2010	F	10:45	J
5	feb	2010	E	09:30	I
5	feb	2010	E	09:30	C
5	feb	2010	E	09:30	D
5	feb	2010	K	10:30	A
5	feb	2010	K	10:30	F
5	feb	2010	K	10:30	D
5	feb	2010	E	12:15	F
5	feb	2010	E	12:15	A
5	feb	2010	E	12:15	D
5	feb	2010	H	13:15	C
5	feb	2010	H	13:15	J
5	feb	2010	H	13:15	D
6	feb	2010	F	11:30	K
6	feb	2010	F	11:30	D
6	feb	2010	F	11:30	A
6	feb	2010	G	12:30	F
6	feb	2010	G	12:30	C
6	feb	2010	G	12:30	H
7	feb	2010	H	08:00	B
7	feb	2010	H	08:00	I
7	feb	2010	H	08:00	G
7	feb	2010	A	08:15	K
7	feb	2010	A	08:15	L
7	feb	2010	A	08:15	B
8	feb	2010	B	10:30	F
8	feb	2010	B	10:30	I
8	feb	2010	B	10:30	G
9	feb	2010	L	08:00	F
9	feb	2010	L	08:00	B
9	feb	2010	L	08:00	A
9	feb	2010	E	12:15	L
9	feb	2010	E	12:15	G
9	feb	2010	E	12:15	K
10	feb	2010	E	13:15	C
10	feb	2010	E	13:15	D
11	feb	2010	L	11:00	A
11	feb	2010	L	11:00	K
11	feb	2010	I	12:45	C
11	feb	2010	I	12:45	E
11	feb	2010	I	12:45	G
14	feb	2010	E	10:15	J
14	feb	2010	E	10:15	G
15	feb	2010	K	08:15	E
15	feb	2010	K	08:15	B
15	feb	2010	K	08:15	C
15	feb	2010	E	10:45	D
15	feb	2010	E	10:45	I
15	feb	2010	E	10:45	L
20	feb	2010	K	08:30	L
20	feb	2010	K	08:30	E
20	feb	2010	I	08:45	B
20	feb	2010	I	08:45	J
20	feb	2010	I	08:45	K
20	feb	2010	D	11:15	A
20	feb	2010	D	11:15	I
20	feb	2010	D	11:15	L
21	feb	2010	A	09:00	I
21	feb	2010	A	09:00	D
21	feb	2010	A	09:00	G
21	feb	2010	A	09:45	H
21	feb	2010	A	09:45	K
21	feb	2010	A	09:45	E
22	feb	2010	B	11:15	F
22	feb	2010	B	11:15	D
22	feb	2010	K	13:00	G
22	feb	2010	K	13:00	H
22	feb	2010	K	13:00	J
24	feb	2010	L	09:30	E
24	feb	2010	L	09:30	J
24	feb	2010	L	09:30	D
26	feb	2010	G	08:30	D
26	feb	2010	G	08:30	A
26	feb	2010	A	11:45	L
26	feb	2010	A	11:45	D
27	feb	2010	I	08:00	J
27	feb	2010	I	08:00	K
27	feb	2010	I	08:00	C
27	feb	2010	D	09:00	B
27	feb	2010	D	09:00	C
27	feb	2010	D	09:00	G
27	feb	2010	J	10:15	C
27	feb	2010	J	10:15	K
27	feb	2010	J	10:15	A
27	feb	2010	H	11:15	I
27	feb	2010	H	11:15	A
27	feb	2010	H	11:15	C
28	feb	2010	J	09:00	F
28	feb	2010	J	09:00	I
28	feb	2010	J	09:00	D
4	jan	2010	F	08:15	J
4	jan	2010	F	08:15	K
4	jan	2010	F	08:15	A
4	jan	2010	J	10:30	K
4	jan	2010	J	10:30	F
6	jan	2010	H	13:30	J
6	jan	2010	H	13:30	C
6	jan	2010	H	13:30	G
7	jan	2010	F	11:00	A
7	jan	2010	F	11:00	J
8	jan	2010	D	10:45	E
8	jan	2010	D	10:45	I
9	jan	2010	A	12:30	F
9	jan	2010	A	12:30	D
9	jan	2010	D	13:30	J
9	jan	2010	D	13:30	F
10	jan	2010	K	12:15	G
10	jan	2010	K	12:15	J
10	jan	2010	K	12:15	I
10	jan	2010	I	13:45	K
10	jan	2010	I	13:45	A
